geoid,geoid20,year,denom_total_pop,traffic_impacts,traffic_impacts_pctile
1400000US06037264103,6037264103,2021,2658,857.59998,32
1400000US06037113322,6037113322,2021,4572,926.03998,38
1400000US06037503901,6037503901,2021,2942,851.13,32
1400000US06037920045,6037920045,2021,4282,538.71002,10
1400000US06037601402,6037601402,2021,4793,3194.23,94
1400000US06037554101,6037554101,2021,3548,761.62,24
1400000US06037408141,6037408141,2021,5366,1178.9,57
1400000US06037570902,6037570902,2021,3583,835.75,30
1400000US06037117407,6037117407,2021,3836,3474.3899,96
1400000US06037270200,6037270200,2021,3226,2386.8401,84
1400000US06037103401,6037103401,2021,3596,2484.22,86
1400000US06037189703,6037189703,2021,2544,3148.04,93
1400000US06037104822,6037104822,2021,2839,4822.3999,100
1400000US06037576700,6037576700,2021,3935,783,26
1400000US06037103402,6037103402,2021,2820,2484.22,86
1400000US06037920312,6037920312,2021,5826,2764.8501,90
1400000US06037216700,6037216700,2021,3835,1124.3199,54
1400000US06037115101,6037115101,2021,5083,1226.51,59
1400000US06037402803,6037402803,2021,3270,269.85001,3
1400000US06037185202,6037185202,2021,3627,657.12,17
1400000US06037500500,6037500500,2021,2377,1202.25,58
1400000US06037185102,6037185102,2021,3898,887.51001,34
1400000US06037183220,6037183220,2021,4155,670.58002,18
1400000US06037185101,6037185101,2021,2172,887.51001,34
1400000US06037294200,6037294200,2021,4874,788.04999,27
1400000US06037620601,6037620601,2021,5278,1310.16,63
1400000US06037620703,6037620703,2021,3211,918.19,37
1400000US06037620704,6037620704,2021,4160,918.19,37
1400000US06037143301,6037143301,2021,2325,2648.74,88
1400000US06037920121,6037920121,2021,10571,1509.91,70
1400000US06037296600,6037296600,2021,5358,934.48999,39
1400000US06037273502,6037273502,2021,2861,633.83002,15
1400000US06037123420,6037123420,2021,4408,1129.3,54
1400000US06037278001,6037278001,2021,2508,1310.25,63
1400000US06037143302,6037143302,2021,4161,2648.74,88
1400000US06037143901,6037143901,2021,4069,1095.14,52
1400000US06037269000,6037269000,2021,4813,1352.1899,65
1400000US06037139401,6037139401,2021,2706,3953.28,98
1400000US06037117404,6037117404,2021,5324,2745.0801,89
1400000US06037543603,6037543603,2021,4301,1965.99,78
1400000US06037181400,6037181400,2021,4943,1131.0601,54
1400000US06037301502,6037301502,2021,6791,699.37,20
1400000US06037310100,6037310100,2021,5644,221.78,2
1400000US06037555211,6037555211,2021,5652,2176.6499,82
1400000US06037269909,6037269909,2021,1978,2287.3301,83
1400000US06037276607,6037276607,2021,2637,984,43
1400000US06037183701,6037183701,2021,3720,1771.9399,74
1400000US06037920028,6037920028,2021,6620,737.71002,22
1400000US06037269908,6037269908,2021,1949,2287.3301,83
1400000US06037430701,6037430701,2021,5846,2464.9299,85
1400000US06037401601,6037401601,2021,5368,1801.87,75
1400000US06037276608,6037276608,2021,1987,984,43
1400000US06037700902,6037700902,2021,7352,1011.6,45
